Slide,Step,category,value,color,label,lightness,duration,title,subtitle
5,176,Papua New Guinea,43.4085,,,no,,,
5,177,Somalia,43.3556,,,no,,,
5,178,Djibouti,43.2727,,,no,,,
5,179,Nicaragua,43.2201,,,no,,,
5,180,Indonesia,43.064,,,no,,,
5,181,Republic of Korea,42.9298,,,no,,,
5,182,Burundi,42.8828,,,no,,,
5,183,United Republic of Tanzania,42.8026,,,no,,,
5,184,Mongolia,42.4992,,,no,,,
5,185,Uganda,42.4757,,,no,,,
5,186,Congo,42.345,,,no,,,
5,187,Bahrain,42.0365,,,no,,,
5,188,India,41.348,,,no,,,
5,189,Madagascar,41.321,,,no,,,
5,190,Haiti,41.1597,,,no,,,
5,191,Cook Islands,41.0268,,,no,,,
5,192,Morocco,40.5665,,,no,,,
5,193,Kenya,40.4167,,,no,,,
5,194,Tunisia,40.386,,,no,,,
5,195,Lao People's Democratic Republic,40.3608,,,no,,,
5,196,Mauritania,40.2625,,,no,,,
5,197,Cambodia,40.2117,,,no,,,
5,198,Sao Tome and Principe,40.0979,,,no,,,
5,199,Comoros,40.0016,,,no,,,
5,200,Democratic Republic of the Congo,39.9113,,,no,,,
5,201,Ethiopia,39.7484,,,no,,,
5,202,Dem. People's Republic of Korea,39.5574,,,no,,,
5,203,Mozambique,39.5041,,,no,,,
5,204,Myanmar,39.3205,,,no,,,
5,205,Guatemala,39.0706,,,no,,,
5,206,Liberia,39.0516,,,no,,,
5,207,Egypt,38.829,,,no,,,
5,208,Bangladesh,38.4168,,,no,,,
5,209,Iran (Islamic Republic of),38.3731,,,no,,,
5,210,Nepal,38.1491,,,no,,,
5,211,Maldives,38.0045,,,no,,,
5,212,Angola,37.9081,,,no,,,
5,213,Nigeria,37.8665,,,no,,,
5,214,Senegal,37.836,,,no,,,
5,215,Benin,37.7905,,,no,,,
5,216,Guinea-Bissau,37.7583,,,no,,,
5,217,Chad,37.7447,,,no,,,
5,218,Central African Republic,37.4411,,,no,,,
5,219,Western Sahara,37.2259,,,no,,,
5,220,Guinea,37.1043,,,no,,,
5,221,Libya,36.6814,,,no,,,
5,222,Bhutan,36.2932,,,no,,,
5,223,Niger,36.2605,,,no,,,
5,224,Eritrea,36.019,,,no,,,
5,225,Cameroon,35.8825,,,no,,,
5,226,Pakistan,34.8878,,,no,,,
5,227,Malawi,34.737,,,no,,,
5,228,Burkina Faso,34.7034,,,no,,,
5,229,Côte d'Ivoire,34.5567,,,no,,,
5,230,South Sudan,33.4345,,,no,,,
5,231,Oman,32.7332,,,no,,,
5,232,Gambia,32.3262,,,no,,,
5,233,Yemen,32.2931,,,no,,,
5,234,Sierra Leone,31.2231,,,no,,,
5,235,Timor-Leste,31.2088,,,no,,,
5,236,Mali,30.3036,,,no,,,
5,237,Afghanistan,29.7139,,,no,,,
6,9,2024,80.6131,,,no,,,
6,8,2022,79.4713,,,no,,,
6,7,2012,78.7812,,,no,,,
6,6,2002,75.7894,,,no,,,
6,5,1992,73.4994,,,no,,,
6,4,1982,70.87,,,no,,,
6,3,1972,64.6042,,,no,,,
6,2,1962,59.5176,,,no,,,
6,1,1952,52.1921,,,yes,,This is how life expectancy in Colombia has evolved in the decades before and after 1952,
7,1,"1,952",52.1921,,,no,,This is how life expectancy in Colombia has changed since you were born,
7,2,"1,953",53.0247,,,no,,,
7,3,"1,954",53.6866,,,no,,,
7,4,"1,955",54.3387,,,no,,,
7,5,"1,956",54.9259,,,no,,,
7,6,"1,957",56.1643,,,no,,,
7,7,"1,958",56.7841,,,no,,,
7,8,"1,959",57.7598,,,no,,,
7,9,"1,960",58.4591,,,no,,,
7,10,"1,961",59.0278,,,no,,,
7,11,"1,962",59.5176,,,no,,,
7,12,"1,963",60.0402,,,no,,,
7,13,"1,964",60.5141,,,no,,,
7,14,"1,965",60.9632,,,no,,,
7,15,"1,966",61.4137,,,no,,,
7,16,"1,967",61.8716,,,no,,,
7,17,"1,968",62.3364,,,no,,,
7,18,"1,969",62.8734,,,no,,,
7,19,"1,970",63.3897,,,no,,,
7,20,"1,971",64.009,,,no,,,
7,21,"1,972",64.6042,,,no,,,
7,22,"1,973",65.166,,,no,,,
7,23,"1,974",65.7694,,,no,,,
7,24,"1,975",66.3876,,,no,,,
7,25,"1,976",67.1096,,,no,,,
7,26,"1,977",67.7896,,,no,,,
7,27,"1,978",68.5077,,,no,,,
7,28,"1,979",68.9842,,,no,,,
7,29,"1,980",69.6014,,,no,,,
7,30,"1,981",70.1854,,,no,,,
7,31,"1,982",70.87,,,no,,,
7,32,"1,983",71.2111,,,no,,,
7,33,"1,984",71.5082,,,no,,,
7,34,"1,985",68.5193,,,no,,,
7,35,"1,986",71.9052,,,no,,,
7,36,"1,987",71.999,,,no,,,
7,37,"1,988",72.3234,,,no,,,
7,38,"1,989",72.7819,,,no,,,
7,39,"1,990",73.1093,,,no,,,
7,40,"1,991",73.3652,,,no,,,
7,41,"1,992",73.4994,,,no,,,
7,42,"1,993",73.6698,,,no,,,
7,43,"1,994",73.8449,,,no,,,
7,44,"1,995",74.0791,,,no,,,
7,45,"1,996",74.4555,,,no,,,
7,46,"1,997",74.87,,,no,,,
7,47,"1,998",75.1705,,,no,,,
7,48,"1,999",75.1746,,,no,,,
7,49,"2,000",75.2894,,,no,,,
7,50,"2,001",75.5262,,,no,,,
7,51,"2,002",75.7894,,,no,,,
7,52,"2,003",76.293,,,no,,,
7,53,"2,004",76.5889,,,no,,,
7,54,"2,005",76.8372,,,no,,,
7,55,"2,006",77.0934,,,no,,,
7,56,"2,007",77.2843,,,no,,,
7,57,"2,008",77.6634,,,no,,,
7,58,"2,009",77.8662,,,no,,,
7,59,"2,010",78.1887,,,no,,,
7,60,"2,011",78.405,,,no,,,
7,61,"2,012",78.7812,,,no,,,
7,62,"2,013",78.8928,,,no,,,
7,63,"2,014",78.9241,,,no,,,
7,64,"2,015",78.9879,,,no,,,
7,65,"2,016",79.1545,,,no,,,
7,66,"2,017",79.3336,,,no,,,
7,67,"2,018",79.5175,,,no,,,
7,68,"2,019",79.6955,,,no,,,
7,69,"2,020",78.2297,,,no,,,
7,70,"2,021",76.3491,,,no,,,
7,71,"2,022",79.4713,,,no,,,
7,72,"2,023",80.452,,,no,,,
7,73,"2,024",80.6131,,,yes,,,
